,id,text,labels
0,id,text,HS
1,201,"Hurray, saving us $$$ in so many ways @USER @USER LockThemUp BuildTheWall EndDACA BoycottNFL BoycottNike",1
2,202,"Why would young fighting age men be the vast majority of the ones escaping a war &amp; not those who cannot fight like women, children, and the elderly?It's because the majority of the refugees are not actually refugees they are economic migrants trying to get into Europe.... URL",1
3,203,"@USER Illegals Dump their Kids at the border like Road Kill and Refuse to Unite! They Hope they get Amnesty, Free Education and Welfare Illegal FamilesBelongTogether in their Country not on the Taxpayer Dime Its a SCAM NoDACA NoAmnesty SendThe",1
4,204,NY Times: 'Nearly All White' States Pose 'an Array of Problems' for Immigrants URL URL,0
5,205,"Orban in Brussels: European leaders are ignoring the will of the people, they do not want migrants URL",0
6,206,@USER LEGAL is. Not illegal. BuildThatWall,1
7,207,"@USER @826Maureen @USER Antifa are just a pack of druggie misfits that no one loves, being the violent thugs they are is their cry for attention and their hit of self importance.JuvenileDelinquents",0
8,208,Ex-Teacher Pleads Not guilty To Rape Charges URL,0
9,209,still places on our Bengali (Sylheti) class it's London's 2nd language know anyone interested @USER @USER @USER URL,0
10,210,DFID Africa Regional Profile: July NUMBER URL,0
11,211,Watch: Benjamin Netanyahu backs Trump's decision to cut aid to the Palestinians and UNRWA - Free Speech Time - URL @USER,0
12,212,"@USER @USER Illegals are dumping their kids heres o they can get  welfare, aid and U.S School  Ripping off U.S Taxpayers  SendThemBack !  Stop Alowing illegals to Abuse the Taxpayer Immigration URL via @USER",1
13,213,"While Costa Rica has received the most asylum claims, Panama, Mexico and the USA have also recorded a growing trend of claims by Nicaraguans in need of international refugee protection. URL",0
14,214,"US immigrant policy to enter US has always been - education or skill &amp; sponsor to take responsibility NUMBER them. In last NUMBER yrs, US has taken in so many with no education or means to support themselves - many never learn English. With Catch &amp; Release too many go on welfare-",0
15,215,"Italy’s populist coalition poised to defy EU with plans to deport NUMBER,NUMBER migrants URL",0
16,216,"Lithuania, Romania aided CIA torture, top European Union court rules URL            EU court is a joke ! Why are they silent as Europe is being destroyed with FORCED islamist immigration...",1
17,217,"Worldbank reports that in the next NUMBER years many refugees have to leave her homeland, specially in Africa. Who will feed them ? Is Europe able to shoot them down and protect her own homeland, before it will destroyed from Africans ? URL",1
18,218,Rich African Countries don't take in African MigrantsRich muslim countries don't take in muslim migrantsRich latin american countries don't take it latin migrantsBut white countries are suppose to accept them??,1
19,219,New research uncovers successes and failures of UK’s help for Syrian immigrants URL,0
20,220,Immigration why us NUMBER Million EU Migrants allowed and their families also more money leaving the EU no thats to pay for their passage to get to the Uk...,0
21,221,@USER @USER @USER @USER Close the tunnels with gunpowder !,0
22,222,Hitler left a stain on Germany for the atrocities he committed against the Jews.  Trump will leave a stain on America for the atrocities he's commiting against these immigrant families.  I only hope there is a reenactment of the Nuremberg Trials at the end of his reign. Inhumane URL,0
23,223,"Over the past two weeks, NUMBER,NUMBER refugees arrived in the US. NUMBER,NUMBER have arrived in FY18, but we are nearly NUMBER,NUMBER behind schedule. We will continue to stand for the vulnerable! refugeeswelcome URL",0
24,224,Church leaders determine to ease economic problems at the heart of humantrafficking plaguing Indonesia URL @USER @USER @USER,0
25,225,And why should he now buckle to their demands that he swear undying trust for these A ?????  THEY are the enemy of this nation! Treason URL,0
26,226,"@USER @USER @USER How about discussing this? JoeBiden's ""black box"" of American success. WhiteGenocide ImmigrationInvasion JesseWatters WatersWorldURL",1
27,227,"It is a cruel irony that sikhs often look more exotic to American eyes, even though they tend to be among the most deeply assimilated of immigrant groups. of course the people they're mistaken for also don't deserve to be attacked. URL",0
28,228,EU’s hailed migrant plan ‘˜a road to Hell’ Czech Republic refuses involvement URL,1
29,229,Could you open up your home to refugees in need? URL,0
30,230,"MS-NUMBER spreads to NUMBER states, fed by NUMBER,NUMBER illegals, DACA recipients, tied to NUMBER murders@GOPLeader @USER@SpeakerRyanNoDACA NoAmnestyDeportThemAllBuildTheWallAmnesty creates more Illegal Migration, always has, always will.",1
31,231,Activists chained to Italian transport ministry to protest immigration policy URL,0
32,232,"Spain: migrants riot to protest against the slow WIFI, the uncomfortable bed and the disgusting food In the shelter - Free Speech Time - URL @USER",0
33,233,"Please listen to a Syrian refugee now in Germany.  He asks that people around the world demand that the annihilation of women and children, deliberate attacks on hospitals and medial people and the mass bombings be tried as the crimes they truly are. URL",0
34,234,The real truth is after Cologne and in the Nordic countries and Others no one trusts any refugees a better life for them doesn't mean NUMBER. NUMBER u,1
35,235,"Federal judge to Trump: ""imminent danger"" of ""irreparable injury to refugees, visa-holders"", etc. @USER URL",0
36,236,"Watch: French Mayor Declares ""Muslim migrants are not welcome here"" - Free Speech Time - URL @USER",1
37,237,Border Ranchers Shock MSNBC With Facts On Illegal Immigration URL via @USER,0
38,238,"Texas has 'moral responsibility' to protect detained immigrant kids, Hispanic lawmakers say  Yes, and so do other NUMBER other jurisdictions in as many States of the Union - each having state laws against child abuse. URL",0
39,239,two children washed up on a barb wired beach another scum photographer another attempt to get the EU to take more migrants enough propaganda,1
40,240,Illegal alien charged with murder of homeless woman in New York City: URL  StopTheInvasion,0
41,241,"Watch: Muslim migrants terrorizing Swedish people, including the elderly people who stand on their way - Free Speech Time - URL @USER",1
42,242,EU is more worried about 'populism' than about tens of thousands of migrants reaching Spain URL,0
43,243,(Islam in Europe) Documentary how Arab and African Immigrants Destroying... URL via @USER,1
44,244,"While @USER attacks our state’s immigrants, @USER has dragged his feet on signing critical legislation to protect our immigrant community, including:  :ballot_box_with_check: SB NUMBER :ballot_box_with_check: SB NUMBER :ballot_box_with_check: SB NUMBER :ballot_box_with_check: SB NUMBER :ballot_box_with_check: SB NUMBER  ilgov twill URL",0
45,245,Rescued migrants arrive in Pozzallo as Italy grants approval to dock URL,0
46,246,"@USER Passenger from Harlingen to Dallas,TX has infected many to measles! Stop the invasion. BuildThatWall KAG",1
47,247,This is what the streets of the uk will look like in NUMBER more years Brexitnow stopimmigration,1
48,248,"A legal immigrant leaves the US because her visa has not been renewed yet, and tons of people give her shit because of her stance against illegal immigration. Cuz Logic! @USER Stay awesome, stay positive, we all love you. URL",0
49,249,Italian bishop warns that Europe must avoid “fear and xenophobia” and welcome Muslim migrants URL via @USER Another Christion moron with a death wish. URL,0
50,250,@USER And this is what we have to look forward to. We made the Arab world RICH while a few here got paid Now we have this BuildThatWall,1
51,251,"The establishment of Europe has a court of humanrights. This court allows crimerefugees to stay forever in Europe. They will not send back in her homeland. So this court has a responsibility for a mulricriminal society in future, one says. URL",0
52,252,"Dear @USER Thank you for giving back. As a son of an immigrant who came to the US with16¢ in his pocket, thank you for giving opportunity. I am one of your biggest fans, not because of your athletic prowess, but from your commitment that EDUCATION is the ultimate equalizer. URL",0
53,253,The plight of Rohingya represents the present and the future of not just for Myanmar but for much of South and SoutheastAsia URL @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER,0
54,254,We are no longer alone: Italian Prime Minister hails EU migrant distribution a success URL,0
55,255,"Lisdoonvarna, a village earmarked for replacement. Along with a growing number of other towns and cities right across Ireland. Listen to Irish (FG) Minister for 'Equality, Immigration and... URL",0
56,256,Let's build that wall.BuildThatWall,1
57,257,US Supreme Court Upholds Donald Trump's Immigration Travel Ban (for now) URL via @USER,0
58,258,Worker charged with sexually molesting eight children at immigrant shelter URL sasc colga speakup speakout,0
59,259,Guatemalan mother separated from her NUMBER-year-old daughter waits URL,0
60,260,"Instead of making Illinois a welcoming state, @USER has turned his back on our immigrant communities and has a series of bills sitting on his desk ilgov twill URL",0
61,261,@USER I was in Toronto last year. It no longer looked like Canada. Very sad situation. The Canadians were good people.URL immigration. Start deportations. We have the right to our homelands.,1
62,262,"Democratic PATRIOTS pls call your representatives and demand Kavanaugh be confirmed, esp if up for re-election. .@PressSec .@realDonaldTrump .@GenFlynn SaturdayMotivation USOpen2018 .@reba .@katyperry .@johnrich MAGA BuildThatWall RedNationRising WalkAway",1
63,263,The new anti-migrant national consensus URL,0
64,264,Sweden: Migrant raped NUMBER-year old grandmother on Christmas Eve – allowed to remain in Sweden SWRM SendThemHome Sweden Rapists URL via @USER,1
65,265,Right on.  URL,0
66,266,"I have an immigrant mentality, which is that the job can be taken away at any time, so make sure you earn it every day,”   How  Pepsi’s Indra Nooyi Learned To Be A CEO URL",0
67,267,"Join @USER for a teach-in about surviving violence, ICE and the experiences of criminalized immigrant survivors this Thursday in SF URL URL",0
68,268,Polish Prime Minister Mateusz Morawiecki insisted that Poland would push  against any discussion on refugee relocations as part of the EU’s  migration politics.URL,0
69,269,"@USER SO WELL SAID, Daniel!His speeches ALL smack of Alinsky; divide & conquer by victimizing one group & calling out the other as bigots, racists, fascist, etc.MAGA KAG POTUS Trump NEWS VoteRed NoDACA WalkAway AmericaFirst USA BackTheBlu",1
70,270,"@USER @USER Here it is not about Refugees or Illegal immigrants. It is about whether one has documents before NUMBER or not. Now, it is difficult for slum people and beggars to show valid documents, except the name in voter list. 1st under",1
71,271,"Refugees don't choose to be refugees. By definition, refugees have been forced to leave their home country because their lives or safety were threatened.Learn more about refugees by downloading our free e-book ""NUMBER Things You Should Know About Refugees"" âž URL URL",0
72,272,Rally To Support Detained Pizza-Worker Immigrant URL,0
73,273,I'd say electrify the water but that would kill wildlife. SendThemBack,1
74,274,actually both Milo and Alex have a friend in the White House- so ain't nobody ''come' for them- unlike say muslims ot immigrant chilfren URL,0
75,275,Good news.We are against illegal immigrants.Bangladeshi must go URL your evidence and stay at Assam. URL,1
76,276,@USER Just deport all these illegal aliens and their kids back to their 3rd world nations. American citizens taxpayers are tired of being robbed by the 3rd world nation paying for these illegal aliens and their kids! MAGA BuildTheWall NoDACA NoAmne,1
77,277,"@USER @USER Germans are OK, like the rest of Western Europe, the immigration problem came from the East (Romania) The are partly responsible for the no vote, also the EU being unelected can hardly claim to represent any European nation..",0
78,278,"Maninder: How I felt, when Immigration New Zealand said ""NO"" to me!: URL via @USER",0
